policyVersion,regionDatasetVersion,groupKey,latitude,longitude
2026-09-02-v1,2026-07-01,BASIC_REGION:44710,36.12266835,127.48274828
2026-09-02-v1,2026-07-01,BASIC_REGION:44760,36.23592204,126.85553522
2026-09-02-v1,2026-07-01,BASIC_REGION:44770,36.10349290,126.71083279
2026-09-02-v1,2026-07-01,BASIC_REGION:44790,36.43069820,126.85338703
2026-09-02-v1,2026-07-01,BASIC_REGION:44800,36.56824931,126.62902197
2026-09-02-v1,2026-07-01,BASIC_REGION:44810,36.67685027,126.78111811
2026-09-02-v1,2026-07-01,BASIC_REGION:44825,36.69813745,126.28323948
2026-09-02-v1,2026-07-01,BASIC_REGION:47110,36.05128489,129.35814229
2026-09-02-v1,2026-07-01,BASIC_REGION:47130,35.83658608,129.23769240
2026-09-02-v1,2026-07-01,BASIC_REGION:47150,36.08707497,128.10372400
2026-09-02-v1,2026-07-01,BASIC_REGION:47170,36.58065772,128.73773120
2026-09-02-v1,2026-07-01,BASIC_REGION:47190,36.15157397,128.35840586
2026-09-02-v1,2026-07-01,BASIC_REGION:47210,36.83908183,128.60785182
2026-09-02-v1,2026-07-01,BASIC_REGION:47230,35.99850506,128.93267613
2026-09-02-v1,2026-07-01,BASIC_REGION:47250,36.43048934,128.09451678
2026-09-02-v1,2026-07-01,BASIC_REGION:47280,36.64768658,128.17397100
2026-09-02-v1,2026-07-01,BASIC_REGION:47290,35.83183132,128.77825641
2026-09-02-v1,2026-07-01,BASIC_REGION:47730,36.35959806,128.59605569
2026-09-02-v1,2026-07-01,BASIC_REGION:47750,36.35769797,129.05361798
2026-09-02-v1,2026-07-01,BASIC_REGION:47760,36.67888206,129.13229126
2026-09-02-v1,2026-07-01,BASIC_REGION:47770,36.46709064,129.33453677
2026-09-02-v1,2026-07-01,BASIC_REGION:47820,35.66816548,128.73917897
2026-09-02-v1,2026-07-01,BASIC_REGION:47830,35.74079941,128.30944851
2026-09-02-v1,2026-07-01,BASIC_REGION:47840,35.91442057,128.23718293
2026-09-02-v1,2026-07-01,BASIC_REGION:47850,36.01763904,128.43829873
2026-09-02-v1,2026-07-01,BASIC_REGION:47900,36.65452291,128.41569138
2026-09-02-v1,2026-07-01,BASIC_REGION:47920,36.91878518,128.87681890
2026-09-02-v1,2026-07-01,BASIC_REGION:47930,36.88181007,129.35859727
2026-09-02-v1,2026-07-01,BASIC_REGION:47940,37.50275955,130.86686789
2026-09-02-v1,2026-07-01,BASIC_REGION:48120,35.20018359,128.62370459
2026-09-02-v1,2026-07-01,BASIC_REGION:48170,35.19177838,128.12071383
2026-09-02-v1,2026-07-01,BASIC_REGION:48220,34.83303138,128.39431372
2026-09-02-v1,2026-07-01,BASIC_REGION:48240,35.01421135,128.06308339
2026-09-02-v1,2026-07-01,BASIC_REGION:48250,35.24715144,128.85502834
2026-09-02-v1,2026-07-01,BASIC_REGION:48270,35.49002845,128.76823781
2026-09-02-v1,2026-07-01,BASIC_REGION:48310,34.87596162,128.64369567
2026-09-02-v1,2026-07-01,BASIC_REGION:48330,35.38046876,129.07442325
2026-09-02-v1,2026-07-01,BASIC_REGION:48720,35.39081294,128.27353331
2026-09-02-v1,2026-07-01,BASIC_REGION:48730,35.29089948,128.44030205
2026-09-02-v1,2026-07-01,BASIC_REGION:48740,35.50039419,128.49606998
2026-09-02-v1,2026-07-01,BASIC_REGION:48820,35.02073187,128.28736399
2026-09-02-v1,2026-07-01,BASIC_REGION:48840,34.81534987,127.93874122
2026-09-02-v1,2026-07-01,BASIC_REGION:48850,35.10138992,127.79833250
2026-09-02-v1,2026-07-01,BASIC_REGION:48860,35.39189237,127.90321891
2026-09-02-v1,2026-07-01,BASIC_REGION:48870,35.54978274,127.72669794
2026-09-02-v1,2026-07-01,BASIC_REGION:48880,35.72834269,127.90887314
2026-09-02-v1,2026-07-01,BASIC_REGION:48890,35.57276913,128.16554749
2026-09-02-v1,2026-07-01,BASIC_REGION:50110,33.49353320,126.52102711
2026-09-02-v1,2026-07-01,BASIC_REGION:50130,33.29091721,126.54810392
2026-09-02-v1,2026-07-01,BASIC_REGION:51110,37.87260741,127.73147508
2026-09-02-v1,2026-07-01,BASIC_REGION:51130,37.33197825,127.93964730
2026-09-02-v1,2026-07-01,BASIC_REGION:51150,37.74966991,128.87636443
2026-09-02-v1,2026-07-01,BASIC_REGION:51170,37.52443335,129.09167887
2026-09-02-v1,2026-07-01,BASIC_REGION:51190,37.14642815,128.99696374
2026-09-02-v1,2026-07-01,BASIC_REGION:51210,38.19688477,128.56614477
2026-09-02-v1,2026-07-01,BASIC_REGION:51230,37.33236204,129.13341813
2026-09-02-v1,2026-07-01,BASIC_REGION:51720,37.73010039,127.98483548
2026-09-02-v1,2026-07-01,BASIC_REGION:51730,37.50003119,128.07652248
2026-09-02-v1,2026-07-01,BASIC_REGION:51750,37.20786550,128.48007747
2026-09-02-v1,2026-07-01,BASIC_REGION:51760,37.52802278,128.46500237
2026-09-02-v1,2026-07-01,BASIC_REGION:51770,37.34413134,128.74885247
2026-09-02-v1,2026-07-01,BASIC_REGION:51780,38.24409606,127.35666561
2026-09-02-v1,2026-07-01,BASIC_REGION:51790,38.12955139,127.67561433
2026-09-02-v1,2026-07-01,BASIC_REGION:51800,38.19271045,128.02100529
2026-09-02-v1,2026-07-01,BASIC_REGION:51810,38.05506427,128.25780568
2026-09-02-v1,2026-07-01,BASIC_REGION:51820,38.37568607,128.41830353
2026-09-02-v1,2026-07-01,BASIC_REGION:51830,38.02847245,128.62102206
2026-09-02-v1,2026-07-01,BASIC_REGION:52110,35.82659843,127.12739418
2026-09-02-v1,2026-07-01,BASIC_REGION:52130,35.96412032,126.72125691
2026-09-02-v1,2026-07-01,BASIC_REGION:52140,35.99685710,126.97343257
2026-09-02-v1,2026-07-01,BASIC_REGION:52180,35.60115509,126.87903935
2026-09-02-v1,2026-07-01,BASIC_REGION:52190,35.42275781,127.40766014
2026-09-02-v1,2026-07-01,BASIC_REGION:52210,35.81290563,126.89156803
2026-09-02-v1,2026-07-01,BASIC_REGION:52710,35.92255806,127.19406201
2026-09-02-v1,2026-07-01,BASIC_REGION:52720,35.83271061,127.44176020
2026-09-02-v1,2026-07-01,BASIC_REGION:52730,35.94143888,127.70105890
2026-09-02-v1,2026-07-01,BASIC_REGION:52740,35.67090070,127.54528789
2026-09-02-v1,2026-07-01,BASIC_REGION:52750,35.59223415,127.24435862
2026-09-02-v1,2026-07-01,BASIC_REGION:52770,35.41103091,127.11493742
2026-09-02-v1,2026-07-01,BASIC_REGION:52790,35.44981913,126.61802625
2026-09-02-v1,2026-07-01,BASIC_REGION:52800,35.67527078,126.64385643
